Season,Lg,Tm,W,L,Finish,Unnamed: 6,Age,Ht.,Wt.,Unnamed: 10,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2024-25,NBA,DAL,39,43,3,,27.5,6-6,217,,82,19730,3443,7194,.479,1020,2801,.364,2423,4393,.552,1458,1894,.770,828,2702,3530,2070,636,445,1151,1458,9364
2023-24,NBA,DAL,50,32,1,,26.5,6-6,217,,82,19705,3535,7352,.481,1197,3242,.369,2338,4110,.569,1397,1842,.758,797,2724,3521,2106,563,406,1027,1500,9664
2022-23,NBA,DAL,38,44,3,,27.8,6-6,215,,82,19930,3283,6909,.475,1246,3362,.371,2037,3547,.574,1554,2057,.755,625,2556,3181,1880,514,304,1002,1697,9366
2021-22,NBA,DAL,52,30,2,,26.7,6-6,218,,82,19755,3222,6982,.461,1073,3063,.350,2149,3919,.548,1341,1739,.771,759,2769,3528,1918,552,325,1025,1612,8858
2020-21,NBA,DAL,42,30,1,,26.3,6-7,219,,72,17305,2958,6287,.470,994,2744,.362,1964,3543,.554,1186,1524,.778,657,2463,3120,1647,450,311,869,1396,8096
2019-20,NBA,DAL,43,32,2,,26.1,6-6,217,,75,18175,3124,6772,.461,1136,3095,.367,1988,3677,.541,1392,1787,.779,791,2729,3520,1849,460,363,953,1462,8776
2018-19,NBA,DAL,33,49,5,,26.9,6-6,222,,82,19780,3182,7122,.447,1022,3002,.340,2160,4120,.524,1541,2076,.742,832,2884,3716,1918,533,351,1167,1650,8927
2017-18,NBA,DAL,24,58,4,,27.7,6-6,213,,82,19805,3128,7042,.444,967,2688,.360,2161,4354,.496,1167,1530,.763,666,2717,3383,1858,578,310,1007,1578,8390
2016-17,NBA,DAL,33,49,5,,27.6,6-6,214,,82,19780,2968,6750,.440,878,2473,.355,2090,4277,.489,1215,1516,.801,647,2516,3163,1705,614,307,972,1567,8029
2015-16,NBA,DAL,42,40,2,,30.3,6-6,223,,82,20005,3064,6900,.444,806,2342,.344,2258,4558,.495,1454,1831,.794,751,2781,3532,1813,560,306,1047,1595,8388
2014-15,NBA,DAL,50,32,4,,29.9,6-6,207,,82,19880,3255,7036,.463,732,2082,.352,2523,4954,.509,1386,1843,.752,858,2608,3466,1846,663,371,1062,1644,8628
2013-14,NBA,DAL,49,33,4,,30.6,6-6,216,,82,19830,3249,6858,.474,721,1877,.384,2528,4981,.508,1378,1733,.795,840,2514,3354,1935,704,356,1110,1636,8597
2012-13,NBA,DAL,41,41,4,,29.5,6-6,218,,82,19980,3182,6892,.462,606,1628,.372,2576,5264,.489,1323,1669,.793,767,2670,3437,1906,648,454,1144,1698,8293
2011-12,NBA,DAL,36,30,3,,31.3,6-6,213,,66,16065,2398,5412,.443,497,1464,.339,1901,3948,.482,1029,1334,.771,665,2157,2822,1380,565,337,926,1226,6322
2010-11,NBA,DAL,57,25,2,,30.9,6-6,214,,82,19705,3069,6463,.475,645,1768,.365,2424,4695,.516,1437,1850,.777,780,2618,3398,1954,557,352,1145,1575,8220
2009-10,NBA,DAL,55,27,1,,30.7,6-6,214,,82,19880,3140,6760,.464,558,1498,.372,2582,5262,.491,1526,1870,.816,834,2586,3420,1917,624,449,1059,1563,8364
2008-09,NBA,DAL,50,32,3,,29.0,6-6,217,,82,19805,3128,6770,.462,571,1632,.350,2557,5138,.498,1516,1852,.819,909,2595,3504,1779,591,429,1043,1600,8343
2007-08,NBA,DAL,51,31,4,,28.9,6-7,219,,82,19730,3025,6515,.464,494,1403,.352,2531,5112,.495,1690,2075,.814,883,2643,3526,1720,490,402,1037,1786,8234
2006-07,NBA,DAL,67,15,1,,28.1,6-7,220,,82,19755,3010,6442,.467,535,1404,.381,2475,5038,.491,1646,2045,.805,920,2515,3435,1632,560,408,1140,1837,8201
2005-06,NBA,DAL,60,22,2,,27.5,6-7,220,,82,19880,2948,6375,.462,416,1113,.374,2532,5262,.481,1818,2322,.783,1030,2431,3461,1473,593,488,1112,1834,8130
2004-05,NBA,DAL,58,24,2,,27.7,6-7,216,,82,19730,3058,6691,.457,463,1273,.364,2595,5418,.479,1826,2314,.789,990,2530,3520,1610,708,461,1102,1827,8405
2003-04,NBA,DAL,52,30,3,,27.4,6-7,218,,82,19805,3322,7230,.459,507,1456,.348,2815,5774,.488,1475,1854,.796,1174,2538,3712,1963,656,437,1000,1609,8626
2002-03,NBA,DAL,60,22,2,,28.1,6-7,216,,82,19780,3161,6982,.453,636,1668,.381,2525,5314,.475,1486,1793,.829,912,2544,3456,1837,665,449,949,1730,8444
2001-02,NBA,DAL,57,25,2,,27.6,6-7,218,,82,19880,3200,6930,.462,621,1645,.378,2579,5285,.488,1608,1994,.806,918,2568,3486,1811,581,392,992,1842,8629
2000-01,NBA,DAL,53,29,3,,26.6,6-7,215,,82,19805,3085,6716,.459,517,1357,.381,2568,5359,.479,1552,1954,.794,831,2571,3402,1740,618,492,1141,1907,8239
1999-00,NBA,DAL,40,42,4,,26.3,6-7,213,,82,19730,3195,7047,.453,519,1326,.391,2676,5721,.468,1407,1751,.804,931,2444,3375,1810,592,416,1124,1770,8316
1998-99,NBA,DAL,19,31,5,,26.1,6-8,218,,50,12075,1749,4033,.434,202,595,.339,1547,3438,.450,881,1210,.728,645,1478,2123,921,352,292,692,1065,4581
1997-98,NBA,DAL,20,62,5,,26.3,6-7,216,,82,19905,2882,6754,.427,422,1183,.357,2460,5571,.442,1308,1738,.753,1008,2280,3288,1535,646,466,1183,1643,7494
1996-97,NBA,DAL,24,58,4,,27.1,6-7,219,,82,19805,2813,6452,.436,430,1316,.327,2383,5136,.464,1375,1918,.717,1040,2262,3302,1663,654,351,1324,1798,7431
1995-96,NBA,DAL,26,56,6,,25.1,6-6,216,,82,19930,3124,7431,.420,735,2039,.360,2389,5392,.443,1426,1975,.722,1408,2379,3787,1913,642,342,1270,1836,8409
1994-95,NBA,DAL,36,46,5,,24.3,6-7,217,,82,19930,3227,7342,.440,386,1200,.322,2841,6142,.463,1622,2210,.734,1514,2433,3947,1941,579,348,1345,1811,8462
1993-94,NBA,DAL,13,69,6,,25.3,6-7,219,,82,19730,3055,7070,.432,241,773,.312,2814,6297,.447,1450,1942,.747,1271,2150,3421,1629,767,299,1393,2007,7801
1992-93,NBA,DAL,11,71,6,,24.9,6-6,213,,82,19730,3164,7271,.435,283,837,.338,2881,6434,.448,1530,2171,.705,1234,2265,3499,1683,649,355,1459,2302,8141
1991-92,NBA,DAL,22,60,5,,28.2,6-7,212,,82,19755,3120,7104,.439,268,797,.336,2852,6307,.452,1499,1999,.750,1194,2439,3633,1630,536,349,1202,1867,8007
1990-91,NBA,DAL,28,54,6,,30.6,6-7,216,,82,19805,3245,6890,.471,193,600,.322,3052,6290,.485,1512,1986,.761,984,2360,3344,1821,581,397,1186,1840,8195
1989-90,NBA,DAL,47,35,3,,29.2,6-7,219,,82,19855,3246,6831,.475,157,486,.323,3089,6345,.487,1735,2261,.767,1042,2419,3461,1776,664,398,1228,1733,8384
1988-89,NBA,DAL,38,44,4,,28.5,6-7,216,,82,19780,3244,6917,.469,211,681,.310,3033,6236,.486,1785,2263,.789,1048,2397,3445,1867,579,476,1233,1739,8484
1987-88,NBA,DAL,53,29,2,,27.0,6-7,220,,82,19755,3413,7191,.475,154,526,.293,3259,6665,.489,1980,2510,.789,1341,2495,3836,1984,645,446,1257,1734,8960
1986-87,NBA,DAL,55,27,1,,26.4,6-7,220,,82,19880,3594,7373,.487,231,653,.354,3363,6720,.500,2148,2717,.791,1219,2494,3713,2017,688,424,1205,1873,9567
1985-86,NBA,DAL,44,38,3,,25.8,6-7,218,,82,19805,3631,7254,.501,141,446,.316,3490,6808,.513,2050,2643,.776,1059,2454,3513,2108,605,369,1289,1733,9453
1984-85,NBA,DAL,44,38,3,,25.0,6-6,210,,82,19855,3560,7280,.489,152,443,.343,3408,6837,.498,1844,2324,.793,1095,2345,3440,2152,575,335,1184,1796,9116
1983-84,NBA,DAL,43,39,2,,24.7,6-6,209,,82,19955,3618,7235,.500,42,184,.228,3576,7051,.507,1774,2350,.755,1090,2265,3355,2164,579,360,1303,1906,9052
1982-83,NBA,DAL,38,44,4,,24.2,6-6,208,,82,19730,3674,7550,.487,43,185,.232,3631,7365,.493,1852,2462,.752,1296,2381,3677,2227,552,348,1348,2067,9243
1981-82,NBA,DAL,28,54,5,,24.4,6-6,206,,82,19730,3390,7224,.469,55,190,.289,3335,7034,.474,1740,2366,.735,1213,2228,3441,2117,566,313,1317,2193,8575
1980-81,NBA,DAL,15,67,6,,24.8,6-6,204,,82,19780,3204,6928,.462,46,165,.279,3158,6763,.467,1868,2487,.751,1109,2177,3286,1984,561,214,1439,2008,8322
